scenario,limit_mode,frequency_multiplier,severity_multiplier,design,mean,mean_mcse,sd,var95,var95_mcse,var99,var99_mcse,tvar99,tvar99_mcse,model_mean,model_sd,mean_check_z,simulated_claims
Sensitivity,Limited,0.5,1.0,A,46332.29923768079,16.683538597295566,11797.043276335196,66929.28001370786,41.75555527234937,76960.57117251573,80.17948392209048,82294.90409809402,103.6460094309538,46317.7420824234,11795.110089556372,0.8726890312282353,25811214
Sensitivity,Limited,0.5,1.0,B,46328.97292600408,13.325144258178634,9422.2998652471,62583.22061067414,32.60885685243785,70281.48493295169,61.28616935783529,74279.90432877044,77.29770738213544,46317.7420824234,9423.286578903238,0.8427426660377046,25811214
Sensitivity,Unlimited,0.5,1.0,A,46332.29923768079,16.683538597295566,11797.043276335196,66929.28001370786,41.75555527234937,76960.57117251573,80.17948392209048,82294.90409809402,103.6460094309538,46317.7420824234,11795.110089556372,0.8726890312282353,25811214
Sensitivity,Unlimited,0.5,1.0,B,46328.97292600408,13.325144258178634,9422.2998652471,62583.22061067414,32.60885685243785,70281.48493295169,61.28616935783529,74279.90432877044,77.29770738213544,46317.7420824234,9423.286578903238,0.8427426660377046,25811214
Sensitivity,Limited,0.5,1.05,A,50189.28952484917,17.806548717827493,12591.131347904444,72146.60724520871,44.12423237522673,82838.30267753295,85.82076991680854,88501.03619988948,110.00036176157255,50173.879999396,12589.258315779583,0.8655140493182691,25811214
Sensitivity,Limited,0.5,1.05,B,49006.1482857474,14.047911069122014,9933.37317848174,66138.3775609836,34.55105606151342,74258.61763291547,65.77030951883428,78462.77090824948,81.33631539850035,48994.29749145605,9934.423908796085,0.8435091035767399,25811214
Sensitivity,Unlimited,0.5,1.05,A,50189.28952484917,17.806548717827493,12591.131347904444,72146.60724520871,44.12423237522673,82838.30267753295,85.82076991680854,88501.03619988948,110.00036176157255,50173.879999396,12589.258315779583,0.8655140493182691,25811214
Sensitivity,Unlimited,0.5,1.05,B,49006.1482857474,14.047911069122014,9933.37317848174,66138.3775609836,34.55105606151342,74258.61763291547,65.77030951883428,78462.77090824948,81.33631539850035,48994.29749145605,9934.423908796085,0.8435091035767399,25811214
Sensitivity,Limited,0.5,1.1,A,54087.27776952866,18.933583014826272,13388.064941942095,77398.02124583215,47.00499904141699,88719.99558564399,92.06236021232696,94755.2716195241,116.82191834147675,54071.0998952559,13386.350783347443,0.8545633375810607,25811214
Sensitivity,Limited,0.5,1.1,B,51685.25000600437,14.770869179421554,10444.581760788356,69697.08126483281,36.23396953736067,78233.39381873375,68.36211543624624,82647.90653740558,85.42298713539421,51672.784703194164,10445.69356852669,0.8438214359644565,25811214
Sensitivity,Unlimited,0.5,1.1,A,54087.27776952866,18.933583014826272,13388.064941942095,77398.02124583215,47.00499904141699,88719.99558564399,92.06236021232696,94755.2716195241,116.82191834147675,54071.0998952559,13386.350783347443,0.8545633375810607,25811214
Sensitivity,Unlimited,0.5,1.1,B,51685.25000600437,14.770869179421554,10444.581760788356,69697.08126483281,36.23396953736067,78233.39381873375,68.36211543624624,82647.90653740558,85.42298713539421,51672.784703194164,10445.69356852669,0.8438214359644565,25811214
Sensitivity,Limited,0.5,1.15,A,58021.768864734724,20.064352407192217,14187.639647242246,82708.42403470063,50.70051161983625,94695.42916746807,97.9144106971566,101051.89051015738,123.13667662885439,58004.79372526363,14186.03462519704,0.8461304761145835,25811214
Sensitivity,Limited,0.5,1.15,B,54366.02837737011,15.493990247937626,10955.905571954932,73257.54607087786,37.91440567938044,82195.60956660626,72.3418697067051,86834.97566268948,89.65939761184866,54352.94663174977,10957.078370230467,0.8442205782729066,25811214
Sensitivity,Unlimited,0.5,1.15,A,58021.768864734724,20.064352407192217,14187.639647242246,82708.42403470063,50.70051161983625,94695.42916746807,97.9144106971566,101051.89051015738,123.13667662885439,58004.79372526363,14186.03462519704,0.8461304761145835,25811214
Sensitivity,Unlimited,0.5,1.15,B,54366.02837737011,15.493990247937626,10955.905571954932,73257.54607087786,37.91440567938044,82195.60956660626,72.3418697067051,86834.97566268948,89.65939761184866,54352.94663174977,10957.078370230467,0.8442205782729066,25811214
Sensitivity,Limited,0.5,1.2,A,61988.82874326613,21.19840262953692,14989.534249668297,88053.76964677633,55.182908918962355,100686.75602053829,103.05793590599778,107386.58241351962,129.68705489696592,61970.998413698835,14988.010705791228,0.8412021578657066,25811214
Sensitivity,Limited,0.5,1.2,B,57048.26521363464,16.21724959713749,11467.327162330725,76817.03145292761,39.61394637146682,86177.06670115083,76.91214934553368,91023.71306418219,93.71662028089641,57034.56918229083,11468.56396867846,0.8444437041116094,25811214
Sensitivity,Unlimited,0.5,1.2,A,61988.82874326613,21.19840262953692,14989.534249668297,88053.76964677633,55.182908918962355,100686.75602053829,103.05793590599778,107386.58241351962,129.68705489696592,61970.998413698835,14988.010705791228,0.8412021578657066,25811214
Sensitivity,Unlimited,0.5,1.2,B,57048.26521363464,16.21724959713749,11467.327162330725,76817.03145292761,39.61394637146682,86177.06670115083,76.91214934553368,91023.71306418219,93.71662028089641,57034.56918229083,11468.56396867846,0.8444437041116094,25811214
Sensitivity,Limited,0.5,1.25,A,65985.05041217469,22.33525147416136,15793.40777688633,93429.87501931537,57.122046459673385,106699.772119704,110.34765575099155,113755.26886331268,136.37576887181328,65966.28953715663,15792.023834971335,0.8400406486780068,25811214
Sensitivity,Limited,0.5,1.25,B,59731.787706644274,16.940635756565268,11978.838421078599,80382.03902594435,41.59194137045399,90151.88570189776,79.97656432943906,95213.96614694792,97.8582311677259,59717.47270715798,11980.138298374442,0.8449178930444106,25811214
Sensitivity,Unlimited,0.5,1.25,A,65985.05041217469,22.33525147416136,15793.40777688633,93429.87501931537,57.122046459673385,106699.772119704,110.34765575099155,113755.26886331268,136.37576887181328,65966.28953715663,15792.023834971335,0.8400406486780068,25811214
Sensitivity,Unlimited,0.5,1.25,B,59731.787706644274,16.940635756565268,11978.838421078599,80382.03902594435,41.59194137045399,90151.88570189776,79.97656432943906,95213.96614694792,97.8582311677259,59717.47270715798,11980.138298374442,0.8449178930444106,25811214
Sensitivity,Limited,0.5,1.3,A,70007.36596492471,23.474677088135344,16599.10335518498,98825.93830658417,58.6759137173931,112768.60493151858,114.66103993747363,120154.20176896048,142.8117843826975,69987.69486886481,16597.855034301898,0.8380339139353815,25811214
Sensitivity,Limited,0.5,1.3,B,62416.43605659624,17.664131844956128,12490.427411341718,83948.1587563281,43.28975432389739,94120.08205466806,83.7359301142767,99405.53275957776,102.08220500526438,62401.50540921166,12491.79113907668,0.8451599851133434,25811214
Sensitivity,Unlimited,0.5,1.3,A,70007.36596492471,23.474677088135344,16599.10335518498,98825.93830658417,58.6759137173931,112768.60493151858,114.66103993747363,120154.20176896048,142.8117843826975,69987.69486886481,16597.855034301898,0.8380339139353815,25811214
Sensitivity,Unlimited,0.5,1.3,B,62416.43605659624,17.664131844956128,12490.427411341718,83948.1587563281,43.28975432389739,94120.08205466806,83.7359301142767,99405.53275957776,102.08220500526438,62401.50540921166,12491.79113907668,0.8451599851133434,25811214
Sensitivity,Limited,0.6,1.0,A,55589.49705863676,18.320322100570532,12954.423990835197,78121.82381893799,45.83798972835319,88822.55050066246,84.64226252816614,94647.10797173931,111.48877005844955,55581.29049890807,12942.417376983216,0.4483640007384569,30970582
Sensitivity,Limited,0.6,1.0,B,55585.44159656256,14.64677265669305,10356.83226804536,73412.34879412677,34.26062020864377,81684.02604299747,67.74096556600952,86036.95182849774,83.47985367531945,55581.29049890807,10349.619175027512,0.2836113340227057,30970582
Sensitivity,Unlimited,0.6,1.0,A,55589.49705863676,18.320322100570532,12954.423990835197,78121.82381893799,45.83798972835319,88822.55050066246,84.64226252816614,94647.10797173931,111.48877005844955,55581.29049890807,12942.417376983216,0.4483640007384569,30970582
Sensitivity,Unlimited,0.6,1.0,B,55585.44159656256,14.64677265669305,10356.83226804536,73412.34879412677,34.26062020864377,81684.02604299747,67.74096556600952,86036.95182849774,83.47985367531945,55581.29049890807,10349.619175027512,0.2836113340227057,30970582
Sensitivity,Limited,0.6,1.05,A,60217.144034018434,19.554464506503155,13827.094455020038,84257.81808452327,49.82917679881273,95636.19799244727,91.34554192742256,101834.83603626597,118.55278550916702,60208.65599927519,13814.50219933905,0.43446711573724234,30970582
Sensitivity,Limited,0.6,1.05,B,58797.52989079584,15.441486388254312,10918.779736734394,77588.86652233561,36.281092999585276,86306.8857702128,71.57901461001208,90890.08901078564,87.91749303825385,58793.15698974725,10911.193549928128,0.28338861104127716,30970582
Sensitivity,Unlimited,0.6,1.05,A,60217.144034018434,19.554464506503155,13827.094455020038,84257.81808452327,49.82917679881273,95636.19799244727,91.34554192742256,101834.83603626597,118.55278550916702,60208.65599927519,13814.50219933905,0.43446711573724234,30970582
Sensitivity,Unlimited,0.6,1.05,B,58797.52989079584,15.441486388254312,10918.779736734394,77588.86652233561,36.281092999585276,86306.8857702128,71.57901461001208,90890.08901078564,87.91749303825385,58793.15698974725,10911.193549928128,0.28338861104127716,30970582
Sensitivity,Limited,0.6,1.1,A,64893.97755618409,20.793158063709203,14702.98306913252,90427.29201099752,52.64198679752877,102526.71048106141,97.51073372562125,109079.39463878525,125.4308714768362,64885.319874307075,14689.854804709337,0.41674377629847786,30970582
Sensitivity,Limited,0.6,1.1,B,62011.93031627648,16.236417506356233,11480.880920920466,81767.2709767077,38.497673311995975,90939.67861972837,76.10597513138998,95745.78630828991,92.28053558323157,62007.34164383299,11472.915335639429,0.282812284978343,30970582
Sensitivity,Unlimited,0.6,1.1,A,64893.97755618409,20.793158063709203,14702.98306913252,90427.29201099752,52.64198679752877,102526.71048106141,97.51073372562125,109079.39463878525,125.4308714768362,64885.319874307075,14689.854804709337,0.41674377629847786,30970582
Sensitivity,Unlimited,0.6,1.1,B,62011.93031627648,16.236417506356233,11480.880920920466,81767.2709767077,38.497673311995975,90939.67861972837,76.10597513138998,95745.78630828991,92.28053558323157,62007.34164383299,11472.915335639429,0.282812284978343,30970582
ADAS,Limited,0.6,1.15,A,69614.58243069025,22.036036162128422,15581.830600712992,96657.24785903083,55.29899298509979,109453.9838730572,104.43700317563545,116374.67361223986,132.46711718139971,69605.75247031635,15568.08436398091,0.4010592897632767,30970582
ADAS,Limited,0.6,1.15,B,65228.34266941826,17.031530482914494,12043.110698454235,85949.01754400537,40.34116504169947,95563.45914689967,79.75128310380646,100603.94436046582,96.76197932211188,65223.53595809972,12034.765384164064,0.2824199774615048,30970582
ADAS,Unlimited,0.6,1.15,A,69614.58243069025,22.036036162128422,15581.830600712992,96657.24785903083,55.29899298509979,109453.9838730572,104.43700317563545,116374.67361223986,132.46711718139971,69605.75247031635,15568.08436398091,0.4010592897632767,30970582
ADAS,Unlimited,0.6,1.15,B,65228.34266941826,17.031530482914494,12043.110698454235,85949.01754400537,40.34116504169947,95563.45914689967,79.75128310380646,100603.94436046582,96.76197932211188,65223.53595809972,12034.765384164064,0.2824199774615048,30970582
Sensitivity,Limited,0.6,1.2,A,74374.2590713125,23.282557902323603,16463.25457610146,102922.17253814945,58.52812439503329,116426.28182157589,108.66568523269163,123715.75541911369,139.50928269075345,74365.19809643859,16448.85943477191,0.38951495712566403,30970582
Sensitivity,Limited,0.6,1.2,B,68446.5055691791,17.826794703483014,12605.447421653267,90133.57570921404,42.126158433022376,100185.96401707431,84.10444397299275,105464.133521124,101.27819402680892,68441.48301874899,12596.72771387614,0.2819366702732554,30970582
Sensitivity,Unlimited,0.6,1.2,A,74374.2590713125,23.282557902323603,16463.25457610146,102922.17253814945,58.52812439503329,116426.28182157589,108.66568523269163,123715.75541911369,139.50928269075345,74365.19809643859,16448.85943477191,0.38951495712566403,30970582
Sensitivity,Unlimited,0.6,1.2,B,68446.5055691791,17.826794703483014,12605.447421653267,90133.57570921404,42.126158433022376,100185.96401707431,84.10444397299275,105464.133521124,101.27819402680892,68441.48301874899,12596.72771387614,0.2819366702732554,30970582
