scenario,frequency_multiplier,severity_multiplier,tvar99_ratio_a_b,ratio_mcse,ratio_ci95_low,ratio_ci95_high,mean_a_minus_b,mean_difference_mcse
Sensitivity,0.5,1.0,1.1079026668350078,0.0005707250327605312,1.1067840457707971,1.1090212878992185,3.3263116767151244,4.72466903218281
Sensitivity,0.5,1.05,1.1279366657007086,0.0005511155231551836,1.1268564792753244,1.1290168521260928,1183.1412391017732,5.0439444001139835
Sensitivity,0.5,1.1,1.1464933062356377,0.000535584462870535,1.1454435606884115,1.147543051782864,2402.0277635242946,5.3750576046247565
Sensitivity,0.5,1.15,1.16372336997817,0.0005170413264386607,1.1627099689783502,1.1647367709779897,3655.74048736462,5.716761367987785
Sensitivity,0.5,1.2,1.1797649073906677,0.0005015312070558841,1.1787819062248381,1.1807479085564974,4940.5635296315,6.067806600150851
Sensitivity,0.5,1.25,1.1947330151938966,0.0004873093969511077,1.1937778887758725,1.1956881416119207,6253.262705530418,6.4269713884631186
Sensitivity,0.5,1.3,1.2087275067431655,0.00047215964159271205,1.2078020738456439,1.2096529396406872,7590.929908328486,6.79343010609519
Sensitivity,0.6,1.0,1.1000750951800882,0.0005348225267404355,1.0990268430276768,1.1011233473324995,4.055462074198154,5.175194440994463
Sensitivity,0.6,1.05,1.1204173870286511,0.0005182841881649895,1.1194015500198478,1.1214332240374545,1419.6141432225857,5.525427648081287
Sensitivity,0.6,1.1,1.1392605235656295,0.0005016920860137075,1.1382772070770426,1.1402438400542163,2882.0472399076216,5.8888302561964485
ADAS,0.6,1.15,1.1567605460404935,0.0004865308798394914,1.155806945516008,1.157714146564979,4386.239761271981,6.263987498776314
Sensitivity,0.6,1.2,1.1730599900518215,0.00047181025164596115,1.1721352419585953,1.1739847381450477,5927.753502133394,6.649472790658814
Sensitivity,0.6,1.25,1.188264453801994,0.00045843031263804947,1.1873659303892234,1.1891629772147645,7502.682453916184,7.043918141412654
Sensitivity,0.6,1.3,1.2024772434646975,0.00044534605235007805,1.2016043652020914,1.2033501217273037,9107.569982719757,7.446340504308714
Sensitivity,0.7,1.0,1.0935202688908063,0.0004904322679983705,1.0925590216455294,1.0944815161360832,7.487522906622016,5.593656947808326
Sensitivity,0.7,1.05,1.1141170388003128,0.0004751920798941772,1.1131856623237202,1.1150484152769053,1659.3142277158595,5.972435637385444
Sensitivity,0.7,1.1,1.133204327983069,0.0004596635281485062,1.132303387467898,1.13410526849824,3365.8604076007286,6.3655721426995795
Sensitivity,0.7,1.15,1.1509397879258148,0.0004464270579000712,1.1500647908923307,1.1518147849592988,5121.175061709148,6.771483759859341
Sensitivity,0.7,1.2,1.1674571892433758,0.00043424854952657093,1.1666060620863037,1.168308316400448,6920.000577524769,7.188605726199255
Sensitivity,0.7,1.25,1.1828684117692376,0.00042242645829771233,1.182040455910974,1.1836963676275012,8757.784798270484,7.615481229321348
Sensitivity,0.7,1.3,1.197278019336258,0.0004105004916647402,1.196473438372595,1.198082600299921,10630.522846137028,8.051045069820233
Sensitivity,0.8,1.0,1.0882058875409375,0.00047469393912144396,1.0872754874202595,1.0891362876616155,11.419310695633696,5.979034852844785
Sensitivity,0.8,1.05,1.1089695612592845,0.0004592242583548029,1.108069481712909,1.1098696408056599,1899.4293791775501,6.384079555782903
Sensitivity,0.8,1.1,1.1282250665794693,0.0004450553742500877,1.127352758045939,1.1290973751129996,3850.0012972788554,6.8046356901830825
Sensitivity,0.8,1.15,1.1461078885965927,0.0004336150057206406,1.1452580031853803,1.1469577740078052,5856.3470462384075,7.239009441838904
Sensitivity,0.8,1.2,1.1627613420217926,0.0004203829758950538,1.1619373913890383,1.163585292654547,7912.387706840862,7.685552541375262
Sensitivity,0.8,1.25,1.1783044328152066,0.0004076344522170974,1.1775054692888611,1.179103396341552,10012.970239972623,8.142672606747475
Sensitivity,0.8,1.3,1.1928427313105547,0.00039600816765238286,1.192066555301956,1.1936189073191534,12153.51834306774,8.609148248162834
Sensitivity,0.9,1.0,1.084100680184469,0.00044620152561629373,1.0832261251942612,1.0849752351746769,11.983440703159193,6.339447970726382
