scenario,limit_mode,frequency_multiplier,severity_multiplier,design,expected_retention_per_claim,expected_retention_annual_per_vehicle,retention_share_of_losses,mc_retention_per_claim,mc_retention_annual_per_vehicle,mc_retention_share,expected_below_deductible,mc_below_deductible,expected_at_limit,mc_at_limit
Sensitivity,Limited,0.5,1.0,A,792.5479270990403,40.909626595809726,0.46899989321835855,792.574150648601,40.91460202651856,0.46895192188685036,0.41183640070522204,0.4118437823188014,4.113028205962841e-121,0.0
Sensitivity,Limited,0.5,1.0,B,792.5479270990403,40.909626595809726,0.46899989321835855,792.6385860462678,40.91792833819527,0.4689900471569575,0.09862267526693197,0.09855681332927618,2.51637685423477e-195,0.0
Sensitivity,Unlimited,0.5,1.0,A,792.5479270990403,40.909626595809726,0.46899989321835855,792.574150648601,40.91460202651856,0.46895192188685036,0.41183640070522204,0.4118437823188014,0.0,0.0
Sensitivity,Unlimited,0.5,1.0,B,792.5479270990403,40.909626595809726,0.46899989321835855,792.6385860462678,40.91792833819527,0.4689900471569575,0.09862267526693197,0.09855681332927618,0.0,0.0
Sensitivity,Limited,0.5,1.05,A,802.3358286817999,41.414857112748784,0.4521828602357388,802.3635928662663,41.41995680256015,0.4521372946844927,0.3945164927175068,0.39450364481112743,2.351123710677597e-115,0.0
Sensitivity,Limited,0.5,1.05,B,825.1880458566653,42.59443962068874,0.465061982113963,825.2827248199546,42.60309804166192,0.4650523800774371,0.09328878033482191,0.0932359864979617,4.945157848362812e-186,0.0
Sensitivity,Unlimited,0.5,1.05,A,802.3358286817999,41.414857112748784,0.4521828602357388,802.3635928662663,41.41995680256015,0.4521372946844927,0.3945164927175068,0.39450364481112743,0.0,0.0
Sensitivity,Unlimited,0.5,1.05,B,825.1880458566653,42.59443962068874,0.465061982113963,825.2827248199546,42.60309804166192,0.4650523800774371,0.09328878033482191,0.0932359864979617,0.0,0.0
Sensitivity,Limited,0.5,1.1,A,811.3278433323724,41.87900565080055,0.4364664886241157,811.3588462187528,41.88431362109064,0.4364240814827689,0.37842096469908454,0.37847200832940286,4.0252718715688735e-110,0.0
Sensitivity,Limited,0.5,1.1,B,857.7907395298497,44.27732084286228,0.4614619295192853,857.8895472451419,44.286341384614936,0.46145261053724373,0.08845397376282428,0.0883945249533788,1.3883820264743596e-177,0.0
Sensitivity,Unlimited,0.5,1.1,A,811.3278433323724,41.87900565080055,0.4364664886241157,811.3588462187528,41.88431362109064,0.4364240814827689,0.37842096469908454,0.37847200832940286,0.0,0.0
Sensitivity,Unlimited,0.5,1.1,B,857.7907395298497,44.27732084286228,0.4614619295192853,857.8895472451419,44.286341384614936,0.46145261053724373,0.08845397376282428,0.0883945249533788,0.0,0.0
Sensitivity,Limited,0.5,1.15,A,819.6132433470393,42.30668025470445,0.4217531512212947,819.646987334546,42.312167589094514,0.42171342104737747,0.3634349321343261,0.3634517926975461,2.4156022343375e-105,0.0
Sensitivity,Limited,0.5,1.15,B,890.3609886795161,45.95852734821831,0.4581582298092449,890.463890548874,45.967908076459125,0.45814915372738535,0.08405350486208875,0.08400085327253495,7.177927377396293e-170,0.0
Sensitivity,Unlimited,0.5,1.15,A,819.6132433470393,42.30668025470445,0.4217531512212947,819.646987334546,42.312167589094514,0.42171342104737747,0.3634349321343261,0.3634517926975461,0.0,0.0
Sensitivity,Unlimited,0.5,1.15,B,890.3609886795161,45.95852734821831,0.4581582298092449,890.463890548874,45.967908076459125,0.45814915372738535,0.08405350486208875,0.08400085327253495,0.0,0.0
Sensitivity,Limited,0.5,1.2,A,827.2688059469224,42.70184400018091,0.4079553302979627,827.3042247019663,42.707452773773085,0.4079175702799195,0.3494561088846014,0.3494344357456414,5.792762530075802e-101,0.0
Sensitivity,Limited,0.5,1.2,B,922.9029409948394,47.63827323158892,0.4551158842446035,923.0099813089881,47.64801630340458,0.45510705454854117,0.08003317624604972,0.07997182929869165,8.443328258901383e-163,0.0
Sensitivity,Unlimited,0.5,1.2,A,827.2688059469224,42.70184400018091,0.4079553302979627,827.3042247019663,42.707452773773085,0.4079175702799195,0.3494561088846014,0.3494344357456414,0.0,0.0
Sensitivity,Unlimited,0.5,1.2,B,922.9029409948394,47.63827323158892,0.4551158842446035,923.0099813089881,47.64801630340458,0.45510705454854117,0.08003317624604972,0.07997182929869165,0.0,0.0
Sensitivity,Limited,0.5,1.25,A,834.3608729663736,43.06792131063478,0.3949945707476743,834.3965566298913,43.07357616807448,0.3949579920335732,0.3363933804957248,0.33637263245347543,6.197091962144393e-97,0.0
Sensitivity,Limited,0.5,1.25,B,955.4200768150906,49.31673814063343,0.4523051779544511,955.5311670656968,49.3268388736049,0.45229653462863373,0.07634730029777143,0.07629056114911914,2.6990896335538135e-156,0.0
Sensitivity,Unlimited,0.5,1.25,A,834.3608729663736,43.06792131063478,0.3949945707476743,834.3965566298913,43.07357616807448,0.3949579920335732,0.3363933804957248,0.33637263245347543,0.0,0.0
Sensitivity,Unlimited,0.5,1.25,B,955.4200768150906,49.31673814063343,0.4523051779544511,955.5311670656968,49.3268388736049,0.45229653462863373,0.07634730029777143,0.07629056114911914,0.0,0.0
Sensitivity,Limited,0.5,1.3,A,840.947025771032,43.40788441283826,0.38280049970027646,840.9834128401404,43.413605678534424,0.38276524217237234,0.3241655026808055,0.324130937816408,3.24629250128382e-93,0.0
